generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
1,5,10.1923,9.976605737502979,9.975597043629774,2.5429207100000015,10.486017668794078,10.475311843672364,9.976605737502979,4.008107669232044,1.0,1.0,0.03397663865129059,0.31943828249996997,0.13777792493400415,1.0462941159225547,0.1020408163265306
2,2,10.4466,10.155004533902105,10.152811954668582,4.61674844,10.938469776307215,10.919454019236362,10.156031192911824,2.2627613645763205,0.9514198862350683,0.9522959499917472,0.14363200655236202,0.3399250774237979,1.4248053733919992,0.2275245801137742,0.1255923114683883
3,5,10.6468,10.335657094372337,10.332168230129513,6.355449760000001,11.2708853559369,11.245452140048593,10.338307827588753,1.6752236902270783,0.9283752427508553,0.9297911724141869,0.16037200919940697,0.3483233979901204,2.56949635046399,0.1510044706975684,0.13620394918243206
4,7,10.8236,10.518820260504153,10.513956368554235,7.611283040000001,11.542338834423083,11.511830202321903,10.523466924827693,1.4220467092234161,0.9170226444480749,0.9187863770575672,0.22153942899312243,0.3509203073047339,4.651980016511983,0.12372412808093491,0.14025517455358594
5,4,11.0364,10.704642628630566,10.698341964222147,8.607875039999996,11.783576221401322,11.74886849177894,10.711539563530547,1.2821282777357796,0.9113248546415517,0.9133175336823157,0.2627845741058208,0.35067812590185915,6.636571817087989,0.13980259203841694,0.1410291418087107
6,5,11.2063,10.893215252027648,10.885424242967412,9.331140309999993,12.010606312414255,11.972231457919344,10.902556590888643,1.2009571850495524,0.908437508910818,0.9105848764677313,0.26952509025706245,0.34903979557581527,7.682477198093981,0.15760835089283098,0.14018587864782256
7,7,11.4202,11.084598503246813,11.07526724711984,10.067231960000003,12.23177104440992,12.190025867608599,11.096548594049228,1.1343932518268902,0.9069663070021983,0.9092226692432482,0.29042606145290123,0.3467195226886946,9.276853500816019,0.1140226711004555,0.13855833227027875
8,4,11.5873,11.27883629421235,11.267916311428628,10.544978709999999,12.45142361667615,12.406452180441535,11.293545870747137,1.0988452721115074,0.906213700616365,0.9085515787582615,0.27616156279917076,0.3440735719311698,9.45652973723397,0.1199029339226918,0.1365627941565855
9,6,11.7901,11.47596359512975,11.463406726092225,11.082641989999997,12.67184191559039,12.623692276531388,11.493578398882125,1.0638347797067118,0.9058270476884782,0.9082303423691278,0.27255581182336325,0.3412802926196923,10.05588743740198,0.09326074477966229,0.13440674697500557
10,4,11.9737,11.676010402026396,11.661768275035467,11.625608310000004,12.89422390989724,12.842885008214,11.696675805022686,1.0299418043957818,0.9056271117942744,0.9080866734531987,0.26979383932592194,0.3384290731421593,10.69437868710603,0.0007812859721094689,0.13219329324110743
11,2,12.1861,11.879003822253482,11.86302760306242,12.054866789999997,13.11920546591726,13.06463021479995,11.902867331817609,1.0108863260197007,0.9055225412259378,0.9080333793829721,0.3000580644098992,0.3355646875416754,12.55882263076201,0.20758821465548216,0.12997342692913388
