generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
220,50,102.757,103.999,106.956,142.726,148.219,146.59,147.187,0.71996,0.701667,0.729616,0.162974,0.143842,277.892,-0.0206893,0.0276233
221,58,103.053,104.037,107.003,146.05,148.273,146.654,147.27,0.705603,0.701662,0.729624,0.16651,0.143807,293.895,0.145559,0.0276099
222,48,103.106,104.072,107.049,148.791,148.325,146.716,147.35,0.692956,0.701657,0.729631,0.105249,0.143774,191.022,0.0485512,0.027597
223,48,103.12,104.107,107.094,149.32,148.376,146.776,147.428,0.690594,0.701652,0.729638,0.100353,0.143742,183.108,-0.0450913,0.0275845
224,54,103.161,104.141,107.138,146.836,148.425,146.834,147.504,0.702561,0.701647,0.729645,0.118122,0.14371,210.174,0.037643,0.0275723
225,53,103.243,104.174,107.18,155.203,148.473,146.891,147.578,0.665209,0.701642,0.729651,0.134322,0.143679,259.716,0.000753575,0.0275605
226,47,103.115,104.206,107.221,152.004,148.519,146.946,147.649,0.678367,0.701638,0.729657,0.169547,0.14365,317.742,0.0825051,0.027549
227,53,103.105,104.237,107.261,150.302,148.564,146.999,147.719,0.685987,0.701634,0.729664,0.184623,0.143621,340.199,0.0645763,0.0275378
228,45,103.097,104.267,107.3,144.065,148.607,147.051,147.786,0.715626,0.701629,0.72967,0.134179,0.143593,232.018,0.0473591,0.027527
229,46,103.033,104.296,107.337,144.717,148.65,147.102,147.851,0.711962,0.701625,0.729676,0.10521,0.143566,183.162,0.00939576,0.0275165
230,63,102.867,104.324,107.374,150.292,148.69,147.151,147.915,0.684448,0.701621,0.729681,0.152404,0.143539,280.801,-0.000462331,0.0275063
231,43,102.76,104.351,107.409,146.954,148.73,147.198,147.977,0.699262,0.701617,0.729687,0.153134,0.143514,272.8,0.0353232,0.0274964
232,47,102.678,104.378,107.444,149.06,148.769,147.245,148.036,0.688836,0.701613,0.729692,0.154836,0.143489,281.781,-0.00516157,0.0274868
233,54,102.632,104.403,107.478,144.416,148.806,147.29,148.095,0.710669,0.70161,0.729697,0.168669,0.143465,292.724,-0.0108225,0.0274774
234,53,102.587,104.428,107.51,145.535,148.842,147.333,148.151,0.704895,0.701606,0.729703,0.148555,0.143441,260.819,-0.0530712,0.0274683
235,50,102.817,104.452,107.542,147.196,148.878,147.376,148.206,0.698506,0.701603,0.729707,0.12988,0.143418,231.945,-0.0316232,0.0274595
236,51,102.87,104.476,107.573,146.601,148.912,147.417,148.259,0.701701,0.701599,0.729712,0.0891323,0.143396,158.212,-0.0199946,0.027451
237,62,102.889,104.499,107.603,146.47,148.945,147.457,148.311,0.702457,0.701596,0.729717,0.152071,0.143375,269.567,0.0654988,0.0274427
238,42,103.052,104.521,107.632,149.928,148.977,147.496,148.361,0.687342,0.701593,0.729721,0.122477,0.143354,224.842,-0.00710036,0.0274346
239,51,102.956,104.542,107.66,148.365,149.008,147.534,148.409,0.693936,0.70159,0.729726,0.0954582,0.143333,172.509,0.0482577,0.0274268
240,45,102.816,104.563,107.687,147.102,149.038,147.571,148.457,0.698944,0.701587,0.72973,0.108857,0.143314,194.217,0.0683065,0.0274192
241,55,102.747,104.583,107.714,146.739,149.067,147.606,148.502,0.700203,0.701584,0.729734,0.0873449,0.143295,155.258,0.0749655,0.0274118
242,53,102.82,104.602,107.74,147.141,149.096,147.641,148.547,0.698786,0.701581,0.729738,0.0786,0.143276,140.289,-0.00328531,0.0274047
243,53,103.067,104.621,107.765,148.497,149.123,147.675,148.59,0.694068,0.701579,0.729742,0.122736,0.143258,222.1,0.0561665,0.0273977
244,62,103.175,104.64,107.789,153.029,149.15,147.707,148.632,0.674218,0.701576,0.729746,0.105398,0.143241,199.524,0.0719912,0.027391
245,48,103.038,104.657,107.813,148.408,149.176,147.739,148.673,0.694289,0.701573,0.72975,0.130729,0.143224,236.352,0.00504435,0.0273844
246,44,103.342,104.675,107.836,151.102,149.201,147.77,148.712,0.683924,0.701571,0.729753,0.113525,0.143207,210.861,0.0316053,0.027378
247,47,103.144,104.691,107.858,148.086,149.225,147.8,148.75,0.696511,0.701569,0.729757,0.201028,0.143191,362.265,0.0650789,0.0273719
248,52,103.347,104.708,107.88,148.615,149.249,147.829,148.788,0.695403,0.701566,0.72976,0.197216,0.143175,357.303,0.0895414,0.0273659
249,50,103.591,104.723,107.901,148.645,149.272,147.857,148.824,0.696902,0.701564,0.729763,0.153812,0.14316,278.751,0.117192,0.02736
250,42,103.765,104.739,107.922,146.185,149.294,147.885,148.859,0.709818,0.701562,0.729767,0.13376,0.143146,236.419,0.0738281,0.0273544
251,49,103.905,104.753,107.942,148.921,149.316,147.911,148.893,0.697718,0.70156,0.72977,0.130538,0.143131,237.232,0.0917007,0.0273489
252,54,103.721,104.768,107.961,146.333,149.336,147.937,148.926,0.708801,0.701558,0.729773,0.11747,0.143118,207.94,0.0567437,0.0273436
253,48,103.831,104.782,107.98,148.475,149.357,147.963,148.958,0.699315,0.701556,0.729776,0.153551,0.143104,277.8,0.0940593,0.0273384
254,54,103.995,104.795,107.998,147.985,149.376,147.987,148.989,0.70274,0.701554,0.729778,0.131939,0.143091,237.519,0.0298155,0.0273334
255,60,104.079,104.808,108.016,146.417,149.395,148.011,149.019,0.710836,0.701552,0.729781,0.124916,0.143078,221.312,-0.0365975,0.0273285
256,65,104.397,104.821,108.033,147.282,149.414,148.034,149.048,0.708826,0.70155,0.729784,0.134109,0.143066,239.708,-0.0178009,0.0273237
257,59,104.48,104.833,108.05,149.764,149.432,148.056,149.076,0.69763,0.701548,0.729787,0.147082,0.143054,269.569,0.0100293,0.0273191
258,44,104.278,104.845,108.066,147.868,149.449,148.078,149.104,0.70521,0.701547,0.729789,0.186096,0.143043,334.615,0.154425,0.0273147
259,54,104.413,104.857,108.082,146.952,149.466,148.099,149.131,0.710524,0.701545,0.729792,0.164917,0.143031,293.787,0.0752064,0.0273103
260,62,104.668,104.868,108.097,148.659,149.482,148.12,149.157,0.704081,0.701543,0.729794,0.180554,0.14302,327.259,0.101411,0.0273061
261,41,104.598,104.879,108.112,149.569,149.498,148.139,149.182,0.699329,0.701542,0.729796,0.123666,0.14301,226.212,0.0616215,0.027302
262,37,104.774,104.889,108.126,150.697,149.513,148.159,149.206,0.69526,0.70154,0.729798,0.172979,0.142999,320.001,0.121196,0.0272981
263,71,104.778,104.9,108.14,150.21,149.528,148.178,149.23,0.697543,0.701539,0.729801,0.133726,0.142989,246.185,0.0390473,0.0272942
264,67,104.892,104.909,108.154,148.8,149.542,148.196,149.253,0.704922,0.701538,0.729803,0.116196,0.14298,210.91,0.0407081,0.0272905
265,40,105.124,104.919,108.167,148.95,149.556,148.214,149.275,0.705771,0.701536,0.729805,0.164756,0.14297,299.503,0.0749233,0.0272868
266,54,105.296,104.928,108.18,147.727,149.57,148.231,149.297,0.71277,0.701535,0.729807,0.13315,0.142961,239.073,0.0925681,0.0272833
267,55,105.462,104.937,108.193,147.785,149.583,148.248,149.318,0.713614,0.701534,0.729809,0.163931,0.142952,294.516,0.019012,0.0272799
268,60,105.616,104.946,108.205,148.58,149.596,148.264,149.338,0.710834,0.701532,0.729811,0.170681,0.142944,309.119,0.0867361,0.0272765
269,60,105.584,104.955,108.217,147.104,149.608,148.28,149.358,0.717749,0.701531,0.729813,0.146973,0.142935,262.225,0.0631936,0.0272733
270,60,105.87,104.963,108.228,152.471,149.62,148.295,149.377,0.694361,0.70153,0.729814,0.158492,0.142927,298.392,0.0328574,0.0272702
271,51,105.81,104.971,108.239,150.361,149.632,148.31,149.396,0.703702,0.701529,0.729816,0.146575,0.142919,270.249,0.0859774,0.0272671
272,49,105.987,104.979,108.25,152.741,149.643,148.324,149.414,0.6939,0.701528,0.729818,0.152496,0.142911,287.868,-0.0652109,0.0272642
273,48,106.08,104.986,108.26,153.243,149.654,148.338,149.431,0.692231,0.701527,0.729819,0.124499,0.142904,236.177,0.0260648,0.0272613
