generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
1,2,10.2254,10.0317,10.0307,2.67599,10.6589,10.6483,10.0317,3.82116,1,1,0.065069,0.319438,0.284841,0.891172,0.102041
2,8,10.5073,10.2671,10.2649,4.71215,11.2388,11.2194,10.2684,2.22983,0.941157,0.942,0.16134,0.344187,1.65033,0.360368,0.130741
3,3,10.8231,10.5069,10.5033,6.42481,11.6747,11.648,10.5101,1.68458,0.913542,0.91493,0.182454,0.354068,2.97128,0.18,0.14348
4,4,11.1348,10.7513,10.7463,7.86163,12.0375,12.005,10.7571,1.41635,0.899971,0.901725,0.191159,0.35687,4.21371,0.0542201,0.148109
5,7,11.3731,11.0006,10.9942,9.0877,12.3648,12.3272,11.0093,1.25148,0.893148,0.895154,0.238882,0.356224,6.5443,0.0542595,0.148694
6,5,11.582,11.2551,11.247,9.89748,12.6761,12.6341,11.2669,1.1702,0.889676,0.89186,0.264466,0.353888,8.23487,0.118937,0.147294
7,7,11.9012,11.5147,11.5049,11.0806,12.9819,12.9357,11.53,1.07405,0.887897,0.89021,0.295354,0.350733,10.8941,0.135085,0.144945
8,10,12.1758,11.7795,11.768,11.7271,13.2876,13.2374,11.7986,1.03826,0.88698,0.889393,0.302453,0.347194,12.1463,0.073137,0.142163
9,7,12.4205,12.0498,12.0365,12.3369,13.5963,13.5421,12.0728,1.00678,0.886503,0.888999,0.290413,0.343488,12.5842,0.0569308,0.139204
10,8,12.6727,12.3255,12.3103,13.0356,13.9095,13.8512,12.3527,0.972163,0.886252,0.888821,0.281442,0.339724,13.246,0.156656,0.136197
11,10,12.9935,12.6067,12.5896,13.8517,14.2282,14.1657,12.6384,0.938047,0.886118,0.888754,0.326593,0.335958,16.8368,0.243641,0.133203
12,7,13.2582,12.8936,12.8745,14.3317,14.5526,14.4859,12.93,0.925094,0.886042,0.888743,0.292838,0.332215,15.8882,0.113211,0.130254
13,7,13.542,13.1861,13.165,14.7824,14.8833,14.8121,13.2276,0.916087,0.885997,0.888762,0.30912,0.32851,17.5689,0.0889103,0.127362
14,8,13.9037,13.4845,13.4612,15.1334,15.2204,15.1446,13.5312,0.918741,0.885967,0.888797,0.262677,0.324849,15.4642,0.00495505,0.124535
15,7,14.236,13.7886,13.7631,15.3549,15.564,15.4835,13.841,0.927131,0.885946,0.88884,0.270606,0.321236,16.282,0.0504911,0.121774
16,10,14.5962,14.0987,14.0709,16.1021,15.9143,15.8289,14.157,0.906475,0.885928,0.888887,0.237682,0.317671,15.3576,0.00547574,0.119079
17,8,14.9599,14.4147,14.3846,16.5453,16.2713,16.1808,14.4793,0.904179,0.885912,0.888938,0.272147,0.314154,18.3154,0.0107771,0.116451
18,7,15.3284,14.7368,14.7042,17.2634,16.6352,16.5394,14.8081,0.887916,0.885897,0.88899,0.27764,0.310686,19.9145,0.208454,0.113888
19,7,15.6708,15.0651,15.03,17.8032,17.006,16.9047,15.1433,0.880222,0.885882,0.889044,0.275252,0.307266,20.6765,0.0335421,0.111387
20,10,15.9905,15.3995,15.3618,18.329,17.3838,17.2768,15.4851,0.872415,0.885867,0.889099,0.275887,0.303893,21.6491,0.0690777,0.108949
21,6,16.3043,15.7402,15.6998,19.1313,17.7687,17.6558,15.8336,0.852232,0.885852,0.889156,0.270175,0.300568,22.608,0.0606886,0.106571
22,3,16.5946,16.0872,16.0441,19.9875,18.1608,18.0418,16.1888,0.830251,0.885837,0.889214,0.275523,0.29729,24.6204,0.116194,0.104253
23,3,16.9265,16.4406,16.3947,20.0917,18.5601,18.4348,16.5508,0.842462,0.885822,0.889272,0.262662,0.294058,23.6549,0.0812805,0.101992
24,8,17.3381,16.8005,16.7516,20.4228,18.9666,18.8349,16.9197,0.848959,0.885806,0.889332,0.263188,0.290871,24.2906,0.0370778,0.0997865
25,12,17.7174,17.1668,17.115,21.0365,19.3806,19.2421,17.2956,0.84222,0.88579,0.889393,0.282753,0.28773,27.2815,0.0720619,0.0976362
26,9,18.0826,17.5397,17.4849,21.0986,19.802,19.6566,17.6785,0.857053,0.885774,0.889455,0.257137,0.284633,24.9198,0.0879449,0.0955393
27,10,18.4019,17.9193,17.8613,22.2588,20.2309,20.0783,18.0686,0.826726,0.885757,0.889519,0.296241,0.28158,31.1098,0.109259,0.0934944
28,11,18.7961,18.3055,18.2443,22.8587,20.6673,20.5073,18.4658,0.822272,0.88574,0.889583,0.291216,0.278571,31.8269,-0.000122248,0.0915004
29,7,19.1812,18.6985,18.634,23.4526,21.1114,20.9438,18.8704,0.817872,0.885723,0.889649,0.264162,0.275605,30.0024,0.0538526,0.0895558
30,9,19.569,19.0982,19.0304,24.1456,21.5631,21.3876,19.2822,0.810457,0.885706,0.889715,0.272466,0.272682,32.3274,0.10965,0.0876594
31,15,19.9711,19.5048,19.4335,24.8435,22.0226,21.839,19.7015,0.803877,0.885688,0.889783,0.294645,0.2698,36.4853,0.190545,0.0858102
32,7,20.3876,19.9182,19.8434,24.9666,22.4899,22.2978,20.1282,0.816596,0.88567,0.889852,0.29774,0.26696,37.1428,0.168617,0.0840069
33,8,20.8299,20.3385,20.2601,25.6752,22.9649,22.7643,20.5625,0.811286,0.885651,0.889922,0.278594,0.264162,36.2445,0.167786,0.0822483
34,7,21.2194,20.7657,20.6836,26.1255,23.4479,23.2383,21.0043,0.812211,0.885632,0.889994,0.335868,0.261403,44.8503,0.198563,0.0805334
35,15,21.6706,21.2,21.1141,27.0009,23.9387,23.72,21.4538,0.802588,0.885613,0.890067,0.290175,0.258686,40.7124,0.0193224,0.0788611
36,8,22.072,21.6412,21.5515,27.0194,24.4375,24.2093,21.911,0.816894,0.885594,0.89014,0.275883,0.256007,38.747,0.122932,0.0772303
37,11,22.6418,22.0894,21.9959,27.4609,24.9442,24.7064,22.3759,0.824511,0.885574,0.890215,0.257727,0.253368,37.0878,0.0495283,0.07564
38,8,23.1114,22.5447,22.4472,28.3996,25.4589,25.2111,22.8485,0.813793,0.885554,0.890292,0.269031,0.250768,40.7165,0.0710939,0.0740891
