u,v,gamma,fit,sim_mean_post,sim_var_post,sim_rho_post,sim_skew_post,sim_exkurt_post,sim_mean_pre,sim_var_pre,sim_rho_pre,sim_skew_pre,sim_exkurt_pre
0.0005,0.0001,7.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.001,0.0001,7.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.0022,0.0001,7.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.003,0.0001,7.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.005,0.0001,7.0,exp,0.14764671532846715,0.14954282661800486,1.0128422178937029,2.747328962293987,7.954549688023736,0.14693990267639906,0.14738183934306567,1.0030076014657494,2.7151245579434002,7.634424903719278
0.007,0.0001,7.0,exp,0.19885279805352798,0.20204866737226282,1.0160715330637418,2.318195455434882,5.542703982720996,0.19747396593673963,0.19786335163017024,1.0019718330544662,2.2792705620674645,5.223521319181921
0.01,0.0001,7.0,exp,0.24259051094890507,0.24811353029197084,1.0227668399784566,2.1050239579483216,4.577732043771264,0.24027761557177607,0.2411067891727494,1.0034508982411874,2.0575799328208983,4.224046071897518
0.015,0.0001,7.0,exp,0.311980291970803,0.32255401486618007,1.0338922783506037,1.8694917107301048,3.6030041145887153,0.3073693430656934,0.308627039513382,1.0040918083604056,1.807214825242169,3.2045407050301296
0.02,0.0001,7.0,exp,0.36340900243309,0.3799974522871045,1.0456467774407123,1.7542850259037115,3.207549318813787,0.35623990267639905,0.35830248472019477,1.005789868086926,1.6782802531409775,2.7545033550141387
0.032,0.0001,7.0,exp,0.4618211678832117,0.4937371988564476,1.0691090690353697,1.589331767769916,2.6472882542347596,0.44749756690997566,0.45052079598540146,1.0067558558950422,1.489360656171465,2.122862032727873
0.04,0.0001,7.0,exp,0.516905596107056,0.5606929550851584,1.0847105531607237,1.5252510395335088,2.454985930003557,0.49706131386861324,0.5006137591240877,1.0071468954761855,1.4100046119082492,1.8836113709346636
