u,v,gamma,fit,sim_mean_post,sim_var_post,sim_rho_post,sim_skew_post,sim_exkurt_post,sim_mean_pre,sim_var_pre,sim_rho_pre,sim_skew_pre,sim_exkurt_pre
0.0005,0.0001,2.5,exp,0.4206756690997567,0.42217371379562046,1.00356104430539,1.883569667703141,4.200341074984004,0.4205068126520682,0.4215631504866179,1.0025120587889826,1.8809927965936277,4.1813157617926935
0.001,0.0001,2.5,exp,1.4975963503649636,1.5027015732603406,1.0034089445357774,0.8355274875595617,0.7142143849520871,1.4962226277372266,1.4983367412408761,1.0014129672045173,0.8335965969750289,0.7087791544837162
0.0022,0.0001,2.5,exp,3.3866800486618005,3.4060606227493917,1.0057225878468352,0.5497191172741236,0.30511818942438484,3.379573479318733,3.384071236861313,1.0013308654391164,0.5466529565079925,0.2989525421028887
0.003,0.0001,2.5,exp,4.362523357664234,4.39637590513382,1.007759854720345,0.485607258060707,0.2394818191094228,4.349971776155718,4.3577299598053525,1.0017835020659582,0.4821692237660449,0.2341118031713987
0.005,0.0001,2.5,exp,6.455061557177616,6.540411574817517,1.013222184929437,0.39966422781374733,0.16117953959736225,6.423574452554745,6.445366147518248,1.0033924561977852,0.39517884328905306,0.15498772950011164
0.007,0.0001,2.5,exp,8.295902189781023,8.438130424476885,1.0171443962865256,0.3568600233145696,0.13319457646917685,8.239132846715329,8.2667774956691,1.003355286225879,0.3512635377410122,0.12658239766310253
0.01,0.0001,2.5,exp,10.716199999999999,10.992209710900243,1.0257563045576084,0.3169188049023077,0.10478164989627639,10.611154501216543,10.673517622360096,1.0058771287456425,0.30967800901865467,0.09721342236381664
0.015,0.0001,2.5,exp,14.244275669099755,14.774257078564482,1.037206624034553,0.27607602498392997,0.07595199425213718,14.035016058394158,14.140596521508517,1.0075226464063227,0.26688893191192115,0.06674636255914229
0.02,0.0001,2.5,exp,17.365450851581507,18.22834187491484,1.0496901019563651,0.254647262476428,0.06679849697348704,17.02685912408759,17.198784528296837,1.0100973058481484,0.24403674511471282,0.05900171239336076
0.026,0.0001,2.5,exp,20.756570559610704,22.0641795576399,1.0629973527791539,0.23555458172299448,0.056484680954164944,20.232706812652076,20.473016646399028,1.0118772953106145,0.22299808399592194,0.046983937132935666
0.032,0.0001,2.5,exp,23.852098540145988,25.654602449318737,1.075570034483084,0.22478212187608568,0.04943452350052684,23.115501459854013,23.42739576347932,1.0134928634002163,0.21174881426738928,0.04004564468124055
