generation,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
1,10.189,10.18,10.179,10.561678999999684,10.700000000000001,10.689,10.18,0.964714038364573,0.9514018691588784,0.9999999999999998,0.3520898944060652,0.316227766016838,12.085176738000323,0.14785689451777673,0.10000000000000012
2,10.344,10.3618148,10.359643323278338,11.117064000000218,11.161574800000002,11.142065551794305,10.362873519999999,0.9304614959489121,0.9283470285931334,0.9522873982598934,0.33317903207862,0.3365159021482129,12.349882368000223,0.06313605684520462,0.12308736806842217
3,10.5349,10.54592026180921,10.542468115101457,11.261181990000052,11.500609831409212,11.474555414317503,10.548653160881695,0.935505705294081,0.9169879177195753,0.9297776319050675,0.36731056741224866,0.34483558422513727,13.880636737098285,0.20448499259026898,0.13349238742123112
4,10.731,10.73258176419655,10.72777309582682,11.355438999999194,11.77740819400263,11.74620095508919,10.737371407397614,0.9450096997571614,0.9112855381595643,0.9187692014582958,0.3554677541258571,0.34741138419320544,13.602104381999764,0.13007226815381712,0.13746733180049447
5,10.9858,10.92195300019799,10.915728799721531,11.635798359999898,12.023356995435373,11.987907117288351,10.929060606597487,0.9441380522513709,0.9083946359028076,0.9132972555844855,0.2928177157214846,0.3471761621710215,11.622287873423916,0.05778383795585329,0.13822997700618067
6,11.2186,11.1141283522002,11.10643773818003,12.116614040000835,12.254799985733936,12.215661856455101,11.1237529455809,0.9258857270656471,0.9069204201731881,0.9105616762728684,0.34953663429238124,0.3455585127357122,14.742278501711748,0.1636704195460421,0.13740733038656075
7,11.4904,11.309170635249806,11.299966428240907,12.771307840000292,12.48025455900176,12.437739947686724,11.321480428573654,0.8997042545644046,0.9061650611199052,0.9091965600137396,0.33633768921990126,0.34326554508747914,15.350714550528213,0.04654077366813647,0.13581579071558206
8,11.7199,11.507125782278981,11.496362307258293,13.106443989999889,12.70416629566299,12.658429625658176,11.522274853326213,0.8942089867352419,0.9057757521803961,0.9085224868640681,0.3472277800250121,0.3406499861302308,16.475620413197806,0.11751696407397239,0.1338633901045992
9,11.8813,11.708030610019925,11.69566262567723,13.026410310000143,12.928862217658116,12.879959185319308,11.726167786833619,0.9120931797211191,0.9055731597192836,0.9081981452071737,0.333839247528978,0.33788841484152315,15.695477157594938,0.16901664274033568,0.1317535009630056
10,12.0708,11.911916919300909,11.897899107259919,13.559987360000337,13.155566946993806,13.103492607933212,11.933190540377296,0.8901778209326959,0.9054658736712913,0.9080512179734272,0.3615294715002066,0.3350693317622437,18.052303789825245,0.2481718304978342,0.12958718684056764
