u,v,gamma,fit,sim_mean_post,sim_var_post,sim_rho_post,sim_skew_post,sim_exkurt_post,sim_mean_pre,sim_var_pre,sim_rho_pre,sim_skew_pre,sim_exkurt_pre
0.0005,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.001,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.0022,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.003,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.005,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.007,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.01,0.0001,10.0,exp,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0
0.015,0.0001,10.0,exp,0.06210778588807787,0.06482290717761557,1.0437162788966672,4.518905011342774,23.076994912993385,0.06115474452554746,0.06193598822384427,1.012774866518663,4.371991282235863,20.7463975780864
0.02,0.0001,10.0,exp,0.08017858880778586,0.08440495357664232,1.0527118876959587,3.8926315525172592,16.6335339920914,0.07859659367396593,0.0796097109975669,1.012890092003269,3.733177099841948,14.521072778341514
0.032,0.0001,10.0,exp,0.10897128953771289,0.11812637605839413,1.0840137485710202,3.392696160364617,12.678842772167176,0.10558929440389293,0.10777210004866178,1.0206726037624547,3.1865040711214463,10.390362334897011
0.04,0.0001,10.0,exp,0.1245265206812652,0.13746829182481754,1.1039278305757676,3.2254521144608916,11.541551215366061,0.1197355231143552,0.12280390698296835,1.0256263453718963,2.9991272089789547,9.214833313479318
