beta,s,R,u,v,sim_μ,sim_σ²,rho_sim,sim_skew,sim_exkurt
6.0e-5,3.0e-5,10.0,0.01,0.0001,160.37479197080287,165.12557883530414,1.0296230274478932,0.08320710794533222,0.003261723817383596
0.0001,5.0e-5,10.0,0.01,0.0001,96.04099902676398,99.02029681284662,1.0310211036564956,0.10584766990073324,0.01166954255524519
0.0002,0.0001,10.0,0.01,0.0001,47.80015863746959,49.202888379075404,1.0293457131020114,0.15092718789022297,0.023089665391814614
0.0004,0.0002,10.0,0.01,0.0001,23.57652895377129,24.27732162836982,1.0297241666053827,0.21585455257787986,0.05070562284304478
0.0006,0.0003,10.0,0.01,0.0001,15.559560097323597,16.03212938364963,1.0303716354042245,0.2626560349627007,0.06917989012766064
0.001,0.0005,10.0,0.01,0.0001,9.130639902676398,9.405969616934307,1.030154481744177,0.3459897374437007,0.1292454773137578
0.002,0.001,10.0,0.01,0.0001,4.2919182481751825,4.4290571729926995,1.0319528278237418,0.5070808462768983,0.2758750992632295
0.004,0.002,10.0,0.01,0.0001,1.883403163017032,1.945651442457421,1.0330509583198708,0.7627994615343263,0.6108089308819359
